Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.0, 0.0, 2690.5535200002964, 10.144480000001078, 1.29504, 0.053959999999999994, 0.2248333333333333, 0.6745, 440.67333333338127, 428.3075000000464, 134.4503333333483, 0.0, 1.1241666666666665, 0.0, 0.0, 0.07494444444394521, 89.40872222223271, 0.07494444444494366, 0.5246111111116103, 1.2740555555560549, 0.07494444444394521, 89.85838888889838, 0.8243888888883897]",169.1137681159606,0.6745,551.4086747157303,0.0,2690.5535200002964,23.0,3.0,7.0,0.7
1,"[0.6784804184549351, 0.6705195815450649, 1.027309817596566, 0.6705195815450649, 1.1650454545451574, 76.95431818178015, 0.1839545454540256, 0.18395454545484252, 0.5058749999980343, 180360.1196247195, 0.8431249999997191, 0.5058750000002809, 0.6726540777230434, 0.7826710454296641, 0.6763459222769566, 0.6726540777230434, 0.0, 1.68625, 0.6745, 5.396, 0.33725]",8593.066996522335,0.6745,38408.28401718241,0.0,180360.1196247195,21.0,5.0,10.0,1.0
2,"[0.0, 430.55583333338126, 1.1241666666666665, 0.6745, 0.6745, 1302.4595000001436, 4.047, 0.0, 0.0, 0.6745]",174.02100000001917,0.6745,397.36192534746,0.0,1302.4595000001436,10.0,2.0,8.0,0.8
3,"[437.30083333338126, 1.349, 0.0, 0.6745, 0.2248333333333333, 2.0235, 432.80416666671454, 0.0, 0.4496666666666666, 0.8243888888889999, 273.0226111113436, 0.5246111111110001, 1.274055555556998, 1.124166666667998, 0.5246111111110001, 0.224833333333999, 0.2248333333330005]",67.79827124184956,0.6745,148.51447878540338,0.0,437.30083333338126,17.0,2.0,6.0,0.6
4,"[0.6745, 6.745, 0.0, 407.39800000004493, 0.6745, 0.0, 0.0, 0.6745, 99.87788461539567]",57.338264957271186,0.6745,127.54367115281678,0.0,407.39800000004493,9.0,3.0,5.0,0.5
5,"[0.001696144174346431, 2.1275301760268346, 0.010742246437555015, 0.001696144174346431, 2.1444916177703366, 2.240606454316863, 0.01978834870075607, 0.691461441743502, 482.9482191953079, 0.683546102263201, 0.6733692372170998, 0.6824153394803009, 0.6756307627829001, 0.6858076278290013, 0.0016961441743539635, 0.0062191953059544895, 0.019788348700748533, 0.0062191953059544895]",27.423384651206216,0.6745,110.48357438794089,0.001696144174346431,482.9482191953079,18.0,1.0,2.0,0.2
6,"[164.74662500001796, 0.843125, 0.505875, 0.0, 0.168625, 0.6745, 1.01175, 0.168625, 202.01275000002246, 0.7588125, 0.0, 0.4215625, 1.6019375]",28.68570673077234,0.6745,66.36676446638621,0.0,202.01275000002246,13.0,1.0,3.0,0.3
7,"[0.6745, 0.6745, 0.6745, 0.6745]",0.6745,0.6745,0.0,0.6745,0.6745,4.0,2.0,1.0,0.1
8,"[0.0, 0.0, 1.7986666666666664, 0.6745, 431.0055000000479, 0.0, 0.8993333333333332, 0.0, 0.33725, 205.04800000002245, 0.6745, 10851.356000001195, 210.44400000002247, 0.6745]",835.9223035715205,0.6745,2780.5614065111067,0.0,10851.356000001195,14.0,2.0,9.0,0.9
9,"[0.24527272727272725, 2.0848181818181817, 0.7358181818181818, 229.20736363638895, 0.0, 0.6131818181818182, 0.24527272727272725, 1.3489999999999998, 73.33654545455363, 249.1970909091179, 0.0, 0.0]",46.41786363636868,0.6745,88.58387823260891,0.0,249.1970909091179,12.0,1.0,4.0,0.4
