Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.6595759980759999, 0.8445038480038408, 0.6595759980759912, 0.6894240019240001, 0.11241666666666665, 28.553833333336517, 0.6745, 29.158072916669944, 0.0, 63.99720238095934, 1.1402261904760835, 0.2087738095239165, 0.2087738095239165, 47.00567241380932, 45.842741379325986, 0.6745, 0.0, 0.06977586206882662]",12.249976033802241,0.6745,20.242290083454364,0.0,63.99720238095934,18.0,4.0,8.0,0.8
1,"[0.5004354838709677, 0.36988709677419357, 0.08703225806451612, 28.111419354841754, 0.0, 0.6745, 22.36729032258311, 0.2284596774194273, 22.312895161292857, 22.09531451613142, 0.10879032258064517, 22.008282258066906, 0.20670161290329825, 21.681911290324972, 2.6436048387098947, 0.6511682389937005, 8.227627358490077, 8.94454874213784, 8.303985849056103, 0.1930172955974943, 0.19301729559743783, 0.6978317610062995, 0.26937578616351926, 8.51185062893031, 0.26089150943396094, 8.448218553458593, 0.506935534591209, 0.3283749999997651, 0.505874999999734, 0.5413750000002007, 36.52062499999779, 0.062124999999929986, 0.8076249999997993, 46.158874999997174, 0.9318749999996592, 35.29587499999789, 36.27212499999784, 0.2041249999999051, 0.062125000000166464]",8.879384429410521,0.6745,12.963546600788375,0.0,46.158874999997174,39.0,3.0,6.0,0.6
2,"[0.3839461538461836, 41.33128461538501, 0.632992307692312, 0.031130769230696916, 0.17640769230774336, 0.716007692307688, 1.1725923076922566, 0.17640769230774336, 0.031130769230696916, 1.0065615384615043, 1.5046538461540375, 1.442392307692367, 0.5058749999997894, 0.0, 0.906359374999763, 0.4637187500000877, 0.06323437499983327, 1757.6205312494617, 0.31617187499972793, 0.12646874999994734, 0.8431249999999298, 1.665171874999728, 0.6745, 0.9906718749997279, 42.4934999999868, 0.02296170212765762, 11.733429787234344, 0.4133106382979137, 390.79094893618, 0.4420127659574475, 0.8266212765957509, 11.762131914893878, 0.5223787234042491, 0.15499148936172719, 11.653063829787543, 14.741412765957799, 0.02296170212765762]",62.11786652293734,0.6745,289.610028866988,0.0,1757.6205312494617,37.0,3.0,10.0,1.0
3,"[24.23382142856823, 0.0, 24.33017857142535, 23.60749999999695, 0.3372500000000802, 0.65041071428572, 0.6745, 0.6745, 0.9443, 0.0, 135.50705000001483, 0.5396, 0.40363779527556937, 0.2761732283464422, 0.9453622047244307, 21.637110236221673, 0.2761732283464422, 22.157590551182345]",14.288619886577115,0.6745,31.079386322466398,0.0,135.50705000001483,18.0,3.0,9.0,0.9
4,"[0.6757829291488349, 0.6783487874465045, 0.6886122206371834, 0.6077876842605789, 0.6905366143604315, 0.6841219686162571, 0.6077876842605789, 0.656538991916312, 0.6732170708511651, 0.6584633856395686, 0.6340877318116978, 0.6809146457441743, 0.6866878269139354, 0.6456340941512114, 0.6995171184022754, 0.6661609605325692, 0.6434957786116315, 0.6681726078799256, 0.6808273921200744, 0.6890530018761751, 0.694747654784238, 0.6434957786116315]",0.6660905422080434,0.6745,0.02564430258602658,0.6077876842605789,0.6995171184022754,22.0,2.0,1.0,0.1
5,"[0.6745000000000045, 0.6744999999999954]",0.6745,0.6745,4.551914400963142e-15,0.6744999999999954,0.6745000000000045,2.0,1.0,3.0,0.3
6,"[0.6745, 34.61871249999217, 33.20226249999265, 0.5395999999998202, 0.0, 0.06744999999997753, 0.47214999999984275, 33.60696249999251, 34.045387499992366, 0.4586599999999389, 0.0, 0.35073999999995326, 12.997614999999751, 0.44516999999994067, 13.22694499999972, 0.6745, 13.672114999999751, 13.260669999999761]",10.68407999999823,0.6745,13.423221846946182,0.0,34.61871249999217,18.0,2.0,7.0,0.7
7,"[0.6744999999999999, 0.7358181818181818, 0.0, 0.2759318181820224, 1.3183409090911131, 1.0872537313432276, 0.2617462686567725, 0.2617462686565042, 1.3892686567161376]",0.6671784260515511,0.6744999999999999,0.4776803432596588,0.0,1.3892686567161376,9.0,2.0,2.0,0.2
8,"[40.90989130434047, 1.1437173913040817, 0.49854347826092055, 0.1466304347825011, 3.3920507246371545, 1.5738333333329426, 0.009775362318902865, 40.77303623187661, 0.009775362318902865, 0.26393478260855413, 0.3616884057970618, 0.8504565217390794, 0.0, 0.09791129032248713, 0.8485645161289949, 0.6962580645161244, 0.1523064516128705, 0.3698870967741141, 1.2184516129031089, 0.6745, 21.92124999999768, 22.4543225806428, 0.4134032258065077]",6.033921224870517,0.6745,12.341831884168988,0.0,40.90989130434047,23.0,2.0,5.0,0.5
9,"[0.6927662988966835, 0.7008846539618871, 0.6562337011033166, 0.6562337011033075, 0.6745, 0.6745]",0.6758530591775326,0.6745,0.01676374250185187,0.6562337011033075,0.7008846539618871,6.0,2.0,4.0,0.4
