Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.9222755102045981, 1.9409081632658676, 1472.956581632615, 0.1514183673468265, 0.4267244897954019, 0.1514183673468265, 1.7049861111109865, 1.1803749999998752, 0.37472222222272145, 0.0, 0.6370277777775282, 0.6745, 1509.268694444611]",230.0299716989459,0.6745,537.7749020137986,0.0,1509.268694444611,13.0,2.0,10.0,1.0
1,"[0.08431250000060844, 0.0843124999998596, 0.5339791666667759, 1.4052083333344878, 0.8150208333332241, 0.8431250000008425, 2.2615588235323347, 1.3886764705896033, 0.5554705882364757, 0.0, 0.07935294117603527, 0.436441176470837, 0.6745, 1.3490000000021145, 2.420264705885462, 0.3602443181819714, 0.3602443181819714, 0.5441988636365168, 0.8661193181820735, 1.1113920454543922, 1.0347443181819713, 0.7588124999999489, 0.590187500000051, 0.7494444444445332, 1.0492222222222667, 0.1498888888890664, 1.0941888888888267, 0.0, 1.1991111111109336, 0.8843444444442137, 0.17986666666664006, 0.8993333333332002, 1.03423333333328, 0.7344555555555466, 1.1841222222223464, 0.5096222222223465, 0.20984444444421368, 0.0, 0.41968888888882677, 0.4046999999998403, 0.6744999999999999, 0.0749444444445332, 2.5097674418608538, 0.15686046511651236, 0.6901860465113169, 1.1607674418608538, 0.15686046511567642, 0.6588139534886831, 0.13489999999991012, 1.6187999999989218, 0.7756750000001572, 0.1348999999990115, 2.192124999999663, 0.5733249999998428]",0.7550307064094365,0.6744999999999999,0.6106966351439727,0.0,2.5097674418608538,54.0,6.0,2.0,0.2
2,"[1.1241666666626728, 0.3372499999985023, 0.8993333333313364, 0.6744999999970046, 0.6745, 0.0, 5.395999999994009, 0.37772000000066136, 1215.0173200011054, 0.6745, 1.4569200000008053, 0.0, 0.07099999999860603, 0.709999999999303, 1.846000000001593, 5.2540000000027876, 0.07100000000049785, 0.639000000000697]",68.62351166672744,0.6745,278.04561990984325,0.0,1215.0173200011054,18.0,3.0,9.0,0.9
3,"[0.0, 1.9008636363620766, 1.1650454545443405, 0.1839545454532087, 0.3985681818181447, 0.9197727272725787, 0.1839545454532087, 0.49054545454597437, 3.219204545453617, 0.4292272727274212, 0.4292272727266043, 0.7358181818185531, 1.7782272727257875, 0.6745, 1.6862499999987748, 0.15329545454638285, 1.7475681818173279, 0.36790909090886814, 0.8277954545455659, 1.226363636362077, 0.4292272727266043, 1.0242407407411598, 2.4232037037044676, 2.348259259260171, 0.0, 1.0492222222228138, 0.12490740740760463, 1.6237962962968633, 0.5495925925930609, 0.6745000000000001, 0.7244629629633081, 0.2248333333335552, 0.9243148148152092, 1.9985185185190115, 0.24981481481520926, 0.5246111111114069, 0.07494444444429653, 0.9243148148152092, 1.224092592593061, 0.1748703703702471, 0.1498888888892587, 0.14988888888859306, 1.0742037037038024, 1.7736851851854563, 0.124907407406939, 0.37472222222281387, 0.6495185185190115, 0.8493703703709128, 1.0742037037044678, 0.29977777777785175, 0.0, 0.8743518518525668, 0.8743518518519011, 0.6745000000000001, 0.7744259259259505, 1.2490740740740494, 0.4996296296297529, 2.9977777777785173, 0.17487037037091274, 0.09992592592595056, 0.0]",0.8286703648506963,0.6745000000000001,0.736850751021352,0.0,3.219204545453617,61.0,3.0,4.0,0.4
4,"[2.2841022727273748, 0.16862499999989788, 0.9044431818180797, 0.44455681818192033, 1.8855340909089886, 0.16862499999989788, 1.3955172413789898, 0.2093275862070034, 0.6745, 0.6512413793101953, 1.488551724137589, 1.232706896551596, 0.5349482758617912, 0.0, 1.372258620689185]",0.8943292058515003,0.6745,0.6644534591303417,0.0,2.2841022727273748,15.0,2.0,5.0,0.5
5,"[1.3886764705887202, 0.6268882352944236, 0.42057058823544585, 0.9284294117649771, 0.5316647058824251, 0.42057058823544585, 30.44772352942236, 30.9079705882461, 1.1347470588239548, 0.46818235294123367, 0.42057058823544585, 0.6427588235294043, 1.2141000000005497, 0.7062411764705957, 0.2698000000007189, 0.08993333333277419, 0.5396000000002397, 1.2590666666672259, 0.6745, 2.5181333333344518, 4.27183333333493, 89.48366666671659, 0.35973333333349305, 0.0, 4.946333333336129, 0.5396000000002397, 3.1926333333344514]",6.607552868557864,0.6745,18.033765378024036,0.0,89.48366666671659,27.0,2.0,7.0,0.7
6,"[2.0235000000071888, 0.0, 5.530900000026599, 0.0, 4.721500000017972, 0.13490000000143776, 256.84960000105536, 0.6745, 0.5396000000021566, 0.48178571428576666, 1.032397959183052, 0.454255102040719, 0.23401020408107126, 0.2340102040818048, 0.922275510202128, 0.8672142857142333, 52.432051020349604, 1.9959693877523847, 0.4542551020392519]",17.346459183728463,0.6745,57.61436805862022,0.0,256.84960000105536,19.0,2.0,8.0,0.8
7,[0.0],0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1
8,"[1.8337968749988942, 0.8852812499989821, 0.14754687499973673, 0.33725000000028077, 0.8642031249988592, 40.596468749970974, 1.7494843749989644, 0.6745, 0.5901875000000701, 0.4004843749995261, 1.1592968749994559, 0.04215625000024571, 0.4426406249992102, 0.9063593749991049, 0.8220468749991751, 0.48479687499945595, 0.0]",3.055088235291937,0.6745,9.398779275384872,0.0,40.596468749970974,17.0,1.0,6.0,0.6
9,"[0.7358181818177363, 0.33724999999959154, 0.7664772727270128, 0.21461363636330216, 0.2759318181818553, 0.0, 1.6862499999995915, 0.6745, 0.8277954545447491, 0.0, 0.3147666666665069, 1.393966666666986, 1.1691333333344516, 3.5523666666679445, 0.08993333333397234, 0.6745, 1.5288666666679447, 0.5396000000002397]",0.8212094276095491,0.6745,0.8276338177076156,0.0,3.5523666666679445,18.0,2.0,3.0,0.3
