Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.3987001434720288, 0.9173974175035976, 0.43160258249640243, 0.23805882352942315, 1.9470502152080174, 0.14322238163559042, 0.3735394548063215, 1.3644835007173584, 0.14322238163557754, 2.3167187948349866, 3.9599053084648204, 2.607034433285494, 1.1670688665710267, 0.2690258249641269, 0.24192969870873693, 6.768225251075998, 1.5038350071736093, 0.2225753228120648, 1.1630165441176654, 4.555354779411814, 0.46371875000000407, 0.436441176470595, 0.0, 1.9342279411764958, 4.7462977941177105, 0.3025330882352975, 0.6745, 0.039676470588231406, 18.40740257352964, 0.868944033790919, 0.87179303062302, 0.6377004575853582, 0.6020879971840856, 0.11775853572685298, 5.095905667018641, 0.8361805702217537, 0.5636265399507214, 0.916902147131293, 0.1552703273495263, 0.679960577261527, 0.4824301302358319, 0.039411122844070876, 5.095905667018641, 0.8152879267863428, 0.6894572333685274, 0.692781063005985, 0.46865997888067684, 0.3993343892995449, 0.801992608236538, 0.06457726152763334, 0.38888806758183786, 0.8898366772263234, 0.669039422738473, 0.014719816965858598, 0.41785286870820176, 0.8941101724744751, 0.1666663146779274, 0.5778715241112298, 0.5009486096444887, 0.5584033790918694, 0.44634283702921224, 2.0332340725096723, 1.528011967617032, 0.33523196057726173, 0.18376029567054, 0.7283935234072513, 0.1011393875396, 0.5531802182330176, 0.799618444209787, 0.18138613164378597, 1.32051003167898, 2.821456529391052, 2.2877444561773945, 2.848521999296015, 2.972453361492424, 0.14719816965856702, 1.5256378035902778, 0.2915473424850425, 0.014719816965855436, 4.191824005631807, 4.8262006335797105, 5.943482224568796, 7.355634987680373, 3.8394980640619387, 0.8732175290390705, 0.28727384723688454, 0.6182323125659979, 0.16524181626187998, 0.8490010559662085, 1.9216483632523684, 0.6410242872228095, 0.41927736712424907, 0.9829039070749704, 0.06885075677578174, 0.5256399155227011, 1.5085438225976717, 1.522788806758177, 0.4015988505747109, 0.4465655172413831, 0.14110229885058026, 0.06667471264368134, 0.0031011494252870236, 0.05582068965517676, 0.27135057471264556, 0.34267701149425744, 0.027910344827583214, 2.2886482758620716, 3.7601436781609294, 5.138604597701167, 0.7148149425287416, 2.2452321839080533, 3.395758620689663, 4.248574712643688, 0.4186551724137895, 1.1350206896551747, 2.040556321839089, 0.8698724137931031, 0.9784126436781697, 0.09613563218390807, 0.9334459770114975, 0.8574678160919551, 0.21863103448275584, 0.3783402298850582, 0.8714229885057467, 0.6745, 0.2853057471264372, 0.3767896551724147, 0.07287701149425539, 1.277673563218388, 0.9380977011494279, 0.8931310344827662, 0.9598057471264372, 0.9427494252873585, 1.5955413793103495, 0.10854022988505616, 0.3116655172413769, 0.25739540229885394, 0.41555402298851285, 0.15505747126437183, 1.4001689655172462, 3.4841413793103535, 3.2763643678161025, 4.02064022988507, 3.5461643678161043, 0.500835632183906, 2.915080459770123, 4.530779310344838, 3.7523908045977117, 0.06357356321839432, 1.024929885057475, 0.3411264367816036, 0.8466137931034505, 0.75823103448276, 0.35508160919540555, 0.2775528735632196, 0.25274367816092347, 0.0, 1.336595402298852, 4.37727241379312, 0.22173218390804286, 0.9132885057471318, 0.8946816091954096, 0.8853781609195486, 0.8342091954023024, 0.0620229885057508, 0.5675103448275873, 2.0172977011494257, 0.18296781609195506, 0.004651724137930536, 0.0, 0.6233310344827641, 0.34577816091954444, 1.7568011494252953, 2.8670126436781636, 7.427252873563238, 3.677963218390813, 0.8512655172413811, 2.9336873563218444, 2.9957103448275952, 0.1984735632183902, 0.27290114942528904, 0.08838275862069052, 0.09613563218390807, 0.9737609195402391, 1.5180126436781636, 0.3814413793103452, 0.48067816091954035, 0.48843103448275793, 0.1643609195402329, 0.7427252873563248, 0.6465896551724167, 0.7380735632183943, 0.38454252873563227, 0.3116655172413769, 1.079199999999998, 0.680702298850574, 0.22638390804598374, 0.17521494252873748, 3.353893103448288, 0.3085643678160898, 0.9396482758620716, 0.15040574712643098, 0.34422758620690097, 0.6062747126436855, 1.028031034482762, 1.7474977011494237, 0.9024344827586273, 0.3643850574712666, 1.034233333333336, 0.27910344827586314, 0.6217804597701205, 0.029460919540226727, 0.5442517241379347, 0.05427011494252292, 0.848164367816094, 1.378460919540237, 1.502078014184379, 1.6766826241134523, 0.5931773049645326, 7.900260638297816, 0.889765957446799, 0.6362304964538893, 0.059796099290773085, 1.3633510638297854, 2.760187943262388, 1.468592198581546, 1.4542411347517605, 0.8825904255319063, 0.3085478723404209, 0.11241666666666932, 0.20809042553190626, 0.6625407801418295, 2.5257872340425256, 0.8204024822695022, 0.09089007092199101, 0.337249999999992, 0.6481897163120598, 0.41378900709219746, 0.5405567375886523, 0.7486471631205587, 0.4281400709219831, 1.3035549645389963, 0.5596914893616998, 0.8491046099290733, 0.7845248226950384, 3.7193173758865, 0.9782641843971591, 0.6864592198581546, 0.8371453900709186, 0.3850868794326264, 0.46162588652481595, 1.0763297872340427, 0.016742907801416462, 1.4327145390070823, 1.2772446808510562, 0.705593971631202, 3.511226950354578, 0.6745, 0.9878315602836828, 0.47836879432623247, 1.939785460992886, 0.5907854609929017, 0.14829432624113315, 0.7247287234042494, 0.16264539007091872, 0.20569858156027532, 0.30376418439715913, 0.10763297872340746, 2.9300088652481993, 1.1791790780141727, 0.052620567375880306, 3.382067375886492, 3.6906152482269126, 0.5883936170212708, 1.3059468085106274, 0.6003528368794254, 0.8849822695035371, 0.1315514184397167, 0.2918049645390045, 0.6625407801418454, 0.212874113475184, 2.0450265957446625, 0.5549078014184379, 0.05979609929078901, 0.07653900709220547, 0.7271205673758803, 0.5501241134751761, 0.13394326241134763, 0.41378900709219746, 0.7295124113475112, 0.33964184397162295, 0.0, 0.8634556737588588, 0.9543457446808498, 1.0667624113475034]",1.19544753684722,0.6745,1.70253354404472,0.0,18.40740257352964,295.0,5.0,5.0,0.5
1,"[0.4904177083333351, 0.9042515624999978, 0.6745, 0.6281281250000005, 0.5269531250000024, 1.3124645833333326, 4.886611979166663, 0.0, 0.13700781249999883, 0.20024218750000117, 0.7798906250000023, 2.524456770833329, 1.3588364583333323, 0.20695394300861802, 4.887778330019852, 0.20695394300861206, 1.142046056991382, 0.34565124555160065, 1.0033487544483992, 5.160765124555246, 0.34565124555160065, 0.6745, 0.8741636167922476, 0.826244348762108, 0.5568799784714777, 0.8247922497308966, 0.3034886975242159, 0.9852491926803066, 0.564866523143162, 0.13867545748116214, 0.4842750269106577, 0.7993805166846081, 0.0, 0.20547201291711725, 1.886276641550059, 2.5811060279870905, 0.5089607104413381, 0.7645301399354192, 0.6585269106566217, 3.6941399354144377]",1.1263609391929559,0.6745,1.3175574234081926,0.0,5.160765124555246,40.0,4.0,4.0,0.4
2,"[1.0384388489208765, 0.45290167865708836, 0.45290167865706676, 0.8960983213429117, 0.0, 0.6745, 2.594649193548398, 0.6745, 0.579022831050237, 0.0, 0.18787442922374767, 0.7976963470319727, 0.4897054794520512, 1.4444771689498042, 1.7185890410959388, 0.5759429223744381, 1.8417853881278912, 1.6631506849315398]",0.8934574451868867,0.6745,0.6807517143108252,0.0,2.594649193548398,18.0,3.0,3.0,0.3
3,"[0.0, 11.22819085173507, 0.9447255520504731, 0.6638611987381715, 0.6745, 5.070045454545396, 0.5018409090909136, 1.958954545454526, 0.49215909090908583, 0.8068181818181821, 0.5421818181818179, 2.288136363636337, 0.4921590909090966]",1.9741210043899287,0.6745,2.9568313793416467,0.0,11.22819085173507,13.0,2.0,7.0,0.7
4,"[0.7597816091954035, 0.0, 0.513240229885054, 0.38609310344827574, 0.8946816091954096, 1.6823735632183963, 0.027910344827583214, 0.26359770114942804, 0.3907448275862063, 0.8838275862068947, 0.6869045977011481, 0.6745, 2.2824459770114975, 0.35042988505747497, 1.1164137931034526, 0.21416605839415617, 0.2584762773722704, 0.03446350364963169, 0.6745, 0.0, 2.21551094890514, 1.7207135036496644, 1.7797937956204617, 1.4154653284671797, 1.0092883211678998, 0.017231751824815844, 0.3923427480916003, 0.9690145038167953, 0.8917816793893093, 1.0596343511450363, 0.18741832061068664, 0.7002442748091574, 0.13181068702289972, 1.0472770992366407, 0.37174732824427437, 0.0, 0.6745]",0.721035819162266,0.6745,0.6099691845510335,0.0,2.2824459770114975,37.0,3.0,2.0,0.2
5,"[0.739099563619659, 0.6086611162149739, 0.7313538125861275, 0.5829452227836471, 0.5098253330271013, 0.528415135507579, 0.6895267570050532, 0.42772037207165897, 0.5479344281120806, 0.6495586816720244, 0.20340342214056142, 0.6594732429949468, 0.4252417317409268, 0.20340342214055937, 0.5076565227377104, 0.836076366559484, 0.36916249425815245, 0.889367133670187, 1.5409397106109284, 193.3545494947172, 204.24786391823577, 204.89447921451506, 206.50590525953112, 207.08900539733546, 207.5621158704636, 207.07909083601254, 0.007998023715414177, 0.37057509881422573, 1.1277213438735232, 0.03999011857707089, 1.1410513833992135, 0.25593675889327144, 0.767810276679832, 0.22127865612647668, 0.5465316205533554, 0.22661067193675277, 0.9171067193675989, 1.6742529644268964, 0.4532213438735233, 0.7144901185770709, 0.19728458498023413, 0.5092075098814226, 0.37057509881422573, 0.8824486166007863, 0.8157984189723348, 3.9030355731225446, 0.8211304347826109, 0.6798320158102761, 1.2743517786561345, 1.3196739130434814, 0.6265118577075149, 1.9541837944664102, 1.1570474308300418, 5.521302371541542, 0.1333003952569207, 0.6371758893280672, 1.247691699604736, 0.5172055335968367, 1.1837075098814402, 0.7678102766798499, 0.07464822134386566, 1.0823992094861763, 2.063490118577089, 0.8211304347826109, 1.0024189723320167, 0.4212292490118488, 0.19728458498023413, 1.0050849802371549, 4.585533596837977, 0.058652173913037293, 0.9304367588932893, 0.5971857707509786, 1.450308300395264, 0.4452233201580914, 0.31192292490118845, 3.5644525691699758, 0.538533596837959, 0.15996047430830132, 1.0850652173912965, 0.426561264822125, 1.0957292490118666, 1.0450750988142257, 0.5971857707509962, 0.9997529644268788, 0.9624288537549458, 1.4529743083004019, 0.5038754940711465, 0.23194268774702892, 3.575116600790528, 0.8531225296442855, 0.7331521739130373, 0.2186126482213386, 0.05065415019762313, 0.7544802371541417, 1.3729940711462425, 0.5145395256916987, 0.6638359683794477, 0.03732411067193283, 0.6451739130434814, 0.437225296442695, 0.7598122529644356, 0.37057509881422573, 0.3519130434782593, 0.6958280632411045, 0.25593675889327144, 0.7784743083004021, 0.293260869565222, 0.15196245059288713, 0.07998023715415953, 0.3839051383399338, 1.1810415019762845, 1.3676620553359842, 0.11197233201579848, 0.029326086956518647, 0.47988142292490393, 0.9437667984189796, 0.9837569169960504, 1.0130830039525691, 0.6158478260869626, 2.6393478260869805, 0.029326086956518647, 0.5998517786561343, 1.3143418972332053, 2.3567509881423105, 0.383905138339916, 0.30125889328063615, 0.20261660079051025, 0.9570968379446697, 1.412984189723331, 0.7838063241106782, 2.9539367588933065, 1.0957292490118666, 0.24260671936758113, 0.08264624505929759, 0.15196245059288713, 0.7624782608695737, 0.23994071146244308, 0.3839051383399338, 1.0823992094861585, 0.8664525691699757, 0.22661067193675277, 0.10930632411066042, 0.3279189723320168, 1.5276225296442678, 0.8451245059288535, 1.2023695652173891, 0.47454940711462784, 0.11197233201579848, 0.25860276679842725, 0.6745, 0.007998023715414177, 0.8477905138340094, 0.6745, 0.8637865612648377, 1.0050849802371549, 0.8691185770751139, 3.012588932806344, 0.6665019762845859, 0.9064426877470466, 1.354332015810276, 0.3439150197628451, 0.09064426877469402, 2.7913102766798676, 0.45055533596838526, 0.7518142292490037, 0.8211304347826109, 0.9037766798419086, 0.5118735177865607, 0.6425079051383433, 0.6211798418972388, 0.1333003952569207, 5.681262845849825, 0.25593675889327144, 0.30925691699605035, 0.6478399209486194, 0.8957786561264767, 0.09064426877469402, 0.4052332015810205, 0.010664031620552235, 0.5065415019762846, 1.162379446640318, 3.8790415019763023, 1.1383853754940756, 1.3223399209486193, 0.7251541501976408, 1.0024189723320167, 1.117057312252971, 0.20261660079051025, 0.15462845849802517, 0.7091581027668126, 0.49587747035573226, 0.4238952569170047, 0.7891383399209543, 0.17595652173912965, 0.4532213438735233, 0.018662055335966415, 0.47454940711462784, 0.6478399209486194, 0.7598122529644179, 0.2106146245059244, 0.03732411067193283, 0.8024683794466446, 0.3732411067193638, 0.18928656126481996, 1.0024189723320167, 3.041915019762863, 0.06665019762845148, 0.9411007905138414, 1.1543814229249039, 1.0930632411067285, 0.27993083003953173, 1.0530731225296577, 0.2719328063240998, 0.437225296442695, 1.0024189723320167, 0.40789920948615854, 0.6505059288537575, 0.733152173913055, 0.3145889328063265, 0.6238458498023769, 0.877116600790528, 0.5012094861660084, 1.3383359683794478, 0.8211304347826109, 1.1543814229249039, 0.5358675889328209, 1.0823992094861585, 0.39190316205533016, 0.68516403162057, 11.151911067193726, 1.1917055335968545, 0.1039743083003843, 0.42656126482214274, 0.5865217391304263, 1.4023201581027611, 0.4052332015810205, 0.87445059288539, 1.1010612648221427, 0.4052332015810205, 0.34124901185770706, 0.6745, 0.5598616600790457, 0.3439150197628451, 0.029326086956518647, 0.4905454545454561, 0.40789920948615854, 1.2610217391304441, 2.471389328063265, 0.8371264822134393, 1.165045454545456, 0.06131818181817536, 0.45055533596838526, 0.38657114624507183, 0.07998023715414178, 0.12530237154150653, 2.1328063241106783, 0.3545790513833974, 1.1997035573122685, 1.018415019762863, 3.857713438735198, 0.775808300395264, 1.3916561264822267, 1.508960474308319, 1.2690197628458584, 0.17862252964426772, 0.5332015810276651, 3.7324110671936914, 9.17906521739135, 18.80068774703567, 0.23460869565216697, 0.2532707509881511, 0.7678102766798499, 1.1863735177865784, 2.391409090909105, 0.16262648221343937, 2.6393478260869805]",6.137992437681834,0.6745,32.028456470119146,0.007998023715414177,207.5621158704636,276.0,2.0,9.0,0.9
6,"[0.3744218436873733, 0.5339228456913834, 5.382482965931929, 0.06217835671342963, 0.840759519038082, 0.577177354709415, 0.6163767535070244, 0.46633767535069975, 0.6623346693386741, 0.7055891783567149, 2.3722394789579484, 0.686665330661326, 0.062178356713420625, 2.5344438877755855, 0.0675851703406746, 0.3217054108216561, 0.31089178356713015, 8.969903807615323, 5.986694388777622, 0.9448406813627389, 29.97131963927886, 10.355399799599304, 0.397692207792207, 0.22132943722943632, 0.47828181818181825, 0.5141967532467533, 0.11037272727272686, 2.0789783549783567, 2.438419696969698, 7.406360389610393, 10.906460606060614, 14.013832467532476, 12.403792207792215, 12.422771645021651, 14.18464740259741, 14.479850649350656, 16.260705844155854, 16.58043636363637, 17.188654329004336, 18.014697835497845, 0.5579954545454556, 0.58748658008658, 0.25928831168831246, 0.11037272727272686, 0.6088019480519474, 0.6543525974025977, 0.4403229437229441, 0.46426623376623344, 0.6382930735930736, 0.6946474025974023]",4.758455138129088,0.6745000000000001,6.778826693714801,0.062178356713420625,29.97131963927886,50.0,2.0,8.0,0.8
7,"[0.760584249084249, 0.7425091575091578, 0.6439413919413919, 0.23380586080586097, 0.7627948717948715, 0.6396501831501835, 0.125485347985348, 0.22782417582417577, 0.0912857142857146, 0.5715109890109891, 0.7200128205128207, 0.5955677655677657, 0.46826190476190505, 0.4608498168498171, 0.21963186813186814, 0.22639377289377302, 1.2335274725274723, 1.488009157509157, 1.5540677655677644, 1.158626373626373, 1.2753992673992667, 0.3728150183150179, 0.4938791208791209, 0.25695238095238115, 0.6431611721611722, 0.2522710622710621, 0.12860622710622763, 0.04135164835164898, 0.09466666666666661, 0.7145512820512819, 0.2525311355311354, 0.3810073260073255, 0.5969981684981684, 0.8258626373626371, 0.8265128205128203, 0.9663021978021976, 0.7291153846153838, 0.46319047619047615, 0.7301556776556775, 0.2992142857142856, 0.0, 0.35708058608058646, 0.6232655677655683, 0.8674743589743592, 0.5754120879120875, 0.82690293040293, 0.6745, 0.7849010989010988, 0.36618315018315045, 0.8461483516483518, 0.801675824175824, 0.7988150183150184, 0.2764578754578752, 0.192064102564103, 0.14082967032967036, 0.8200109890109893, 0.7618846153846152, 0.6999871794871793, 0.8674743589743592, 0.8053168498168501, 0.7428992673992676, 0.8829487179487183, 0.9120769230769228, 0.04577289377289391, 0.01573443223443223, 0.8347051282051279, 0.7100000000000004, 0.6174139194139197, 0.7638351648351646, 0.5540860805860809, 0.6006391941391944, 0.4694322344322346, 0.338095238095238, 0.843027472527472, 0.408054945054945, 0.2968736263736265, 0.1557838827838829, 0.07802197802197806, 0.8902307692307688, 0.8954322344322343, 0.8747564102564097, 0.06761904761904795, 0.8518699633699638, 0.9127271062271058, 0.5595476190476187, 0.8457582417582419, 0.9093461538461539, 0.6019395604395607, 0.4898479853479858, 0.4794450549450548, 0.46761172161172193, 0.19700549450549443, 0.19674542124542116, 0.22132234432234413, 0.04486263736263674, 0.30831684981684954, 0.47996520146520133, 0.6284670329670328, 0.24745970695970648, 0.44316483516483474, 0.1798406593406594, 0.31767948717948674, 0.45291758241758173, 1.4357344322344314, 0.892831501831502, 0.8908809523809528, 0.6161135531135535, 0.16462637362637364, 0.1589047619047617, 0.43055128205128124, 0.6945256410256405, 1.0926978021978018, 1.13404945054945, 0.7417289377289372, 0.1643663003663004, 0.03589010989011026, 0.36761355311355237, 0.4068846153846146, 0.4270402930402926, 0.40584432234432166, 0.4513571428571424, 0.45278754578754604, 0.5810036630036629, 0.08478388278388295, 0.6781410256410252, 1.530401098901098, 1.5655109890109884, 1.3232527472527464, 1.1553754578754576, 1.2426300366300362, 1.5356025641025635, 1.4332637362637355, 1.5526373626373617, 2.084097069597069, 1.242760073260073, 1.6155750915750906, 2.152106227106226, 0.38906959706959654, 0.8369157509157503, 0.8640934065934065, 2.361985347985347, 75.86714102564099, 75.89704945054942, 82.13646703296699, 83.67714102564099, 104.40211904761901, 108.6709615384615, 109.3181538461538, 109.97353846153841, 110.50356776556772, 110.6603919413919, 110.79667032967029, 111.37910439560434, 111.35205677655674, 109.92854578754576, 110.23036080586077, 111.03268681318679, 0.5808736263736264, 0.6162435897435901, 0.6284670329670328, 0.8174102564102561]",10.75062815962505,0.6745,30.685910095334098,0.0,111.37910439560434,161.0,1.0,10.0,1.0
8,"[0.029157060518724312, 0.029157060518732944, 13.971415465898097, 1.188960134486068, 1.2239486071085424, 0.4567939481268046, 0.6952339097022113, 0.16781508165225106, 0.6537660902977886, 0.8287084534101776]",1.92449558117194,0.6745,4.036227631926641,0.029157060518724312,13.971415465898097,10.0,1.0,6.0,0.6
9,"[0.6744999999999933, 0.6745000000000066]",0.6745,0.6745,6.661338147750939e-15,0.6744999999999933,0.6745000000000066,2.0,1.0,1.0,0.1
