Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.2452727272727287, 11.098590909090898, 0.24527272727272553, 1.1037272727272711, 0.8547543103448279, 3.1573577586206922, 1.017564655172415, 0.3546939655172419, 0.35469396551724125, 0.4942456896551721, 0.4496666666666706, 0.8993333333333293, 0.44966666666665883, 9.667833333333212]",2.170905284370792,0.6745,3.4376973413669196,0.24527272727272553,11.098590909090898,14.0,3.0,6.0,0.6
1,"[0.0, 0.0, 0.6744999999999998, 0.6745000000000002, 0.6745, 1.655590909090911, 0.0]",0.5255844155844158,0.6744999999999998,0.5570533653491873,0.0,1.655590909090911,7.0,4.0,1.0,0.1
2,"[0.0, 0.7274019607843137, 0.6745, 0.6745, 0.0, 3.3532285714285655, 0.6745, 202.0802000000012, 0.0, 0.6745, 2.4804193548387077, 0.0]",17.6116041572544,0.6745,55.62832728384231,0.0,202.0802000000012,12.0,4.0,10.0,1.0
3,"[2.9678000000000018, 11.601400000000009, 0.5396000000000006, 0.0, 0.6745, 11.895727272727289, 16.862500000000026, 0.6131818181818185, 0.0, 0.6745]",4.582920909090914,0.6745,6.006646089203448,0.0,16.862500000000026,10.0,2.0,8.0,0.8
4,"[2.698, 0.14988888888888802, 0.0, 14.389333333333337, 3.597333333333332, 0.6745, 0.5246111111111119, 0.6745, 5.199270833333331, 0.5339791666666676, 0.0, 4.8058124999999965, 6.492062499999998, 0.5901875000000005]",2.8806770833333326,0.6745,3.82858500521892,0.0,14.389333333333337,14.0,2.0,7.0,0.7
5,"[0.37905785123966945, 0.37905785123966945, 1.6277190082644628, 0.9699421487603306, 0.0313720930232556, 2.457480620155036, 0.031372093023256685, 1.3176279069767431, 0.9725348837209292, 0.3764651162790691, 1.7568372093023263, 0.37646511627907076]",0.889660991521985,0.6745,0.7344352851378202,0.0313720930232556,2.457480620155036,12.0,3.0,3.0,0.3
6,"[1.236583333333334, 2.0984444444444437, 0.0, 0.562083333333334, 1.0492222222222218, 0.637027777777778, 0.6745]",0.8939801587301588,0.6745,0.6112941006178932,0.0,2.0984444444444437,7.0,1.0,4.0,0.4
7,"[0.6745, 0.6745, 0.6745, 0.6745]",0.6745,0.6745,0.0,0.6745,0.6745,4.0,2.0,2.0,0.2
8,"[39.79550000000003, 0.0, 0.6745, 1.0117499999999982, 0.0]",8.296350000000007,0.6745,15.754448844374101,0.0,39.79550000000003,5.0,1.0,9.0,0.9
9,"[1.6006791044776119, 1.6006791044776119, 0.41275373134328314, 3.694649253731343, 0.5939626865671637, 0.21141044776119375, 0.7550373134328364, 0.21141044776119375]",1.1350727611940297,0.6745000000000001,1.0983104256525051,0.21141044776119375,3.694649253731343,8.0,1.0,5.0,0.5
