Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.101175, 0.6745, 0.0, 0.4552875000001123, 2.478787500000337, 4.569737500000337, 1.112925, 0.2698, 3.8615125000005612, 0.04935365853646776, 0.6745, 0.8883658536583923, 0.27967073170716206, 2.5828414634145433, 5.231487804877856, 0.0, 0.9399483870968498, 1.0356838709677554, 0.017406451612902475, 0.7049612903226083, 1.8189741935485988, 0.6353354838709984, 2.001741935484017, 0.06092258064510069, 1.5665806451614548, 0.7310709677420201, 0.6440387096773916, 0.017406451612902475, 0.06092258064510069, 0.0696258064516099, 1.491835294117519, 1.5077058823529161, 0.8093999999999789, 0.2618647058823647, 0.9919117647057797, 0.007935294117698674, 0.007935294117592955, 0.07935294117645815, 0.3174117647058326, 1.5156411764705093, 0.5396000000000212, 1.6108647058822592]",1.016095778346762,0.6745,1.205235392519164,0.0,5.231487804877856,42.0,4.0,10.0,1.0
1,"[0.0861063829787112, 0.574042553191408, 0.0, 2.2244148936168013, 0.8610638297871119, 0.8323617021277329, 0.6745, 0.8069910714286411, 0.7186636904762137, 0.6303363095237863, 0.8471398809523939, 0.06022321428568276, 0.06022321428568276, 2.7729444444447773, 1.4364351851852684, 0.11241666666658347, 1.4489259259260923, 0.5495925925925925, 2.2982962962964626, 0.19985185185185184, 0.7994074074075739, 0.03747222222230543, 3.085212962963379, 0.0, 1.4364351851852684, 1.9860277777780273, 0.6745, 0.587064814814898, 0.22483333333333333, 0.29977777777794423]",0.877508706236684,0.6745,0.8358402350787828,0.0,3.085212962963379,30.0,3.0,6.0,0.6
2,"[1.0250275590551337, 0.32397244094486627, 0.32397244094486627, 2.2253188976376927, 1.9423101851853932, 0.3747222222223054, 0.4434212962963379, 1.5488518518521015, 1.317773148148356, 1.5863240740743236, 0.8306342592593841, 1.2490740740742403, 0.0, 0.3310046296296712, 1.224092592592676, 0.5808194444444861, 0.5808194444444861, 0.5495925925926758, 1.2053564814816062, 0.16862499999995842, 0.19985185185185184, 0.03747222222230543, 0.11866203703707863, 0.8681064814815231, 0.6745, 0.7244629629629629, 0.7681805555556804, 1.3989629629631293, 0.13739814814814813, 0.36133928571419976, 2.710044642856739, 0.6745, 0.30111607142841956, 0.0, 2.625732142856839, 1.2285535714284397, 0.34929464285714, 0.9515267857141395, 0.028615151515123127, 0.36382121212133356, 0.5682151515151014, 0.9524757575757463, 1.5493060606061886, 1.3285606060607975, 0.11037272727269559, 0.7317303030303552, 0.02861515151523205, 0.9688272727272608, 0.4537545454546088, 0.3311181818181957, 1.7945787878790147, 0.7807848484850075, 0.6172696969696448, 1.3857909090909348]",0.8139861733999332,0.6745,0.6495135579937139,0.0,2.710044642856739,54.0,4.0,5.0,0.5
3,"[1.0117499999999329, 1.4245037313433766, 0.13590671641786342, 2.3506828358208964, 0.13590671641799754, 0.26677985074640975, 0.33725000000006705, 1.1023544776119312, 1.1723452380951591, 0.08029761904760631, 0.8993333333332976, 1.4052083333332708, 0.4737559523809307, 0.8913035714284836, 0.2248333333332977, 3.5170357142855844, 0.4416369047618882, 0.0, 0.6745, 0.2569523809523402, 0.2328630952381118, 1.0679583333333245, 0.13650595238098423, 0.8672142857142552, 2.208184523809441, 1.2767321428571008, 1.092047619047553, 0.4817857142857448, 0.7066190476190425, 0.11241666666664885, 0.6423809523809574, 0.28907142857138274, 0.8511547619047338, 0.2447300884955717, 1.7728008849556374, 0.5372123893805154, 0.06565929203542638, 0.6745, 1.098300884955717, 0.0, 0.6804690265486317, 0.07759734513268987, 1.5638849557520949, 3.1635840707962983, 0.5372123893805154, 0.19100884955748834, 0.1372876106194845, 1.3609380530972635, 1.1460530973450096, 1.0684557522123197, 1.4803185840706936, 0.2686061946902577, 0.20891592920354263, 0.7879115044247189]",0.811717002514324,0.6745,0.7458888529060619,0.0,3.5170357142855844,54.0,3.0,4.0,0.4
4,"[0.2429875776397772, 0.49435403726707516, 2.513664596273203, 2.5471801242235093, 1.2316956521739275, 0.8462670807452923, 0.35191304347821717, 0.38542857142852355, 0.18433540372668517, 3.142080745341504, 0.7792360248446797, 0.2429875776397772, 0.44408074534161557, 0.18433540372668517, 0.5697639751553204, 1.349, 2.396360248447131, 0.8378881987577715, 0.6745, 0.5058749999999704, 0.6035000000000125, 1.1626249999999736, 0.0, 1.4643749999999207, 0.6656249999999424, 1.6773749999998835, 2.60037499999984, 0.9584999999999503, 1.4288749999999268, 0.08874999999998444, 0.656750000000003]",1.0074414195551646,0.6745,0.8334750712859953,0.0,3.142080745341504,31.0,2.0,9.0,0.9
5,"[0.0, 0.6745, 0.8602318840580182, 0.5474202898550197, 0.7136014492753585, 1.438933333333483, 0.05620833333325845, 0.4047000000001498, 2.5518583333337075, 0.6745, 0.4833916666667415, 1.0117500000001496, 0.24731666666681643, 0.0, 1.304033333333483, 0.2698000000001498, 1.4052083333334082, 1.3602416666667416, 0.0, 0.1004574468084008, 0.6745, 1.7077765957447255, 1.8082340425531265]",0.7954201467375105,0.6745,0.6667308385992091,0.0,2.5518583333337075,23.0,3.0,3.0,0.3
6,"[0.12726415094338023, 2.5198301886790984, 1.654433962264282, 1.0181132075470418, 0.33088679245295816, 0.1272641509435498, 1.9724015151518555, 0.8277954545452503, 1.1752651515150834, 0.3168106060608103, 0.5212045454547497, 0.31681060606053796]",0.9090066943015497,0.6745,0.7516018504510079,0.12726415094338023,2.5198301886790984,12.0,2.0,8.0,0.8
7,"[0.6745, 0.6745]",0.6745,0.6745,0.0,0.6745,0.6745,2.0,1.0,1.0,0.1
8,"[0.11400000000007368, 1.2159999999999702, 0.06333333333332739, 0.2279999999999786, 2.039333333333311, 1.2603333333334261, 1.1210000000000215, 0.06333333333332739]",0.7631666666666794,0.6745000000000001,0.6978747101816393,0.06333333333332739,2.039333333333311,8.0,1.0,2.0,0.2
9,"[1.1061800000001798, 0.3102700000000898, 2.2258500000002694, 0.5800700000000898, 1.2410800000001798, 0.0, 0.8633600000001798, 0.51262, 0.6745000000000001, 0.5261100000000899, 1.8211500000002696]",0.8964718181819407,0.6745000000000001,0.6301003375339814,0.0,2.2258500000002694,11.0,1.0,7.0,0.7
